VehicleID,Scheme,SilentPeriod,ZKPStatus,BlockchainDelay,TotalDelay
33,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
24,PROPOSED,4.56612,PASS,0.2,4.86612
33,BASELINE_COOP_SWAP,0,N/A,0,0.5
31,PROPOSED,1.25669,PASS,0.2,1.55669
34,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
34,BASELINE_COOP_SWAP,0,N/A,0,0.5
35,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
30,PROPOSED,2.39557,PASS,0.2,2.69557
35,BASELINE_COOP_SWAP,0,N/A,0,0.5
36,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
32,PROPOSED,1.95312,PASS,0.2,2.25312
36,BASELINE_COOP_SWAP,0,N/A,0,0.5
37,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
37,BASELINE_COOP_SWAP,0,N/A,0,0.5
28,PROPOSED,4.79731,PASS,0.2,5.09731
38,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
34,PROPOSED,2.06666,PASS,0.2,2.36666
38,BASELINE_COOP_SWAP,0,N/A,0,0.5
39,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
39,BASELINE_COOP_SWAP,0,N/A,0,0.5
40,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
35,PROPOSED,2.50083,PASS,0.2,2.80083
38,PROPOSED,1.15712,PASS,0.2,1.45712
40,BASELINE_COOP_SWAP,0,N/A,0,0.5
41,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
41,BASELINE_COOP_SWAP,0,N/A,0,0.5
42,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
42,BASELINE_COOP_SWAP,0,N/A,0,0.5
43,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
33,PROPOSED,4.88254,PASS,0.2,5.18254
43,BASELINE_COOP_SWAP,0,N/A,0,0.5
44,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
36,PROPOSED,4.04099,PASS,0.2,4.34099
37,PROPOSED,3.6709,PASS,0.2,3.9709
44,BASELINE_COOP_SWAP,0,N/A,0,0.5
45,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
45,BASELINE_COOP_SWAP,0,N/A,0,0.5
46,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
46,BASELINE_COOP_SWAP,0,N/A,0,0.5
47,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
44,PROPOSED,1.6639,PASS,0.2,1.9639
47,BASELINE_COOP_SWAP,0,N/A,0,0.5
48,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
48,BASELINE_COOP_SWAP,0,N/A,0,0.5
39,PROPOSED,4.72734,PASS,0.2,5.02734
49,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
41,PROPOSED,3.95414,PASS,0.2,4.25414
42,PROPOSED,3.55992,PASS,0.2,3.85992
49,BASELINE_COOP_SWAP,0,N/A,0,0.5
40,PROPOSED,4.72324,PASS,0.2,5.02324
43,PROPOSED,3.75145,PASS,0.2,4.05145
46,PROPOSED,2.32135,PASS,0.2,2.62135
47,PROPOSED,1.91587,PASS,0.2,2.21587
48,PROPOSED,2.40144,PASS,0.2,2.70144
45,PROPOSED,4.3168,PASS,0.2,4.6168
49,PROPOSED,4.82587,PASS,0.2,5.12587
