VehicleID,Scheme,TxBytes,RxBytes,TotalBytes
19,BASELINE_COOP_SWAP,512,400,912
19,GLBSS,700,700,1400
20,BASELINE_CRYPTO_ONLY,256,256,512
15,PROPOSED,0,0,0
20,BABAGHAYOU_SAFETY_AWARE,400,350,750
20,OBFUSCATION,550,400,950
20,MDEE_COOP_SWAP,512,512,1024
20,RFPM,600,600,1200
20,BASELINE_COOP_SWAP,512,400,912
20,GLBSS,700,700,1400
21,BASELINE_CRYPTO_ONLY,256,256,512
17,PROPOSED,700,300,1000
21,BABAGHAYOU_SAFETY_AWARE,400,350,750
21,OBFUSCATION,550,400,950
21,MDEE_COOP_SWAP,512,512,1024
21,RFPM,600,600,1200
21,BASELINE_COOP_SWAP,512,400,912
21,GLBSS,700,700,1400
22,BASELINE_CRYPTO_ONLY,256,256,512
22,BABAGHAYOU_SAFETY_AWARE,400,350,750
22,OBFUSCATION,550,400,950
22,MDEE_COOP_SWAP,512,512,1024
22,RFPM,600,600,1200
22,BASELINE_COOP_SWAP,512,400,912
22,GLBSS,700,700,1400
23,BASELINE_CRYPTO_ONLY,256,256,512
23,BABAGHAYOU_SAFETY_AWARE,400,350,750
23,OBFUSCATION,550,400,950
19,PROPOSED,700,300,1000
23,MDEE_COOP_SWAP,512,512,1024
23,RFPM,600,600,1200
23,BASELINE_COOP_SWAP,512,400,912
23,GLBSS,700,700,1400
24,BASELINE_CRYPTO_ONLY,256,256,512
24,BABAGHAYOU_SAFETY_AWARE,400,350,750
24,OBFUSCATION,550,400,950
24,MDEE_COOP_SWAP,512,512,1024
24,RFPM,600,600,1200
24,BASELINE_COOP_SWAP,512,400,912
24,GLBSS,700,700,1400
25,BASELINE_CRYPTO_ONLY,256,256,512
25,BABAGHAYOU_SAFETY_AWARE,400,350,750
25,OBFUSCATION,550,400,950
25,MDEE_COOP_SWAP,512,512,1024
25,RFPM,600,600,1200
25,BASELINE_COOP_SWAP,512,400,912
25,GLBSS,700,700,1400
26,BASELINE_CRYPTO_ONLY,256,256,512
20,PROPOSED,700,300,1000
26,BABAGHAYOU_SAFETY_AWARE,400,350,750
26,OBFUSCATION,550,400,950
26,MDEE_COOP_SWAP,512,512,1024
26,RFPM,600,600,1200
